2000,0.115501165,0.025555934,0.055780977,0.052489698
4000,0.057116225,0.046928217,0.044601142,0.025631833
6000,0.081926048,0.071705654,0.060413256,0.046961355
8000,0.101818174,0.089589914,0.079034127,0.064978623
10000,0.090059586,0.085166385,0.087302022,0.070258003
12000,0.124408752,0.118170073,0.089591704,0.094468337
14000,0.175846517,0.15193361,0.118261285,0.112340832
16000,0.192483559,0.167992155,0.141784921,0.122328985
18000,0.218694523,0.191069007,0.163535014,0.138896811
20000,0.241772383,0.205327074,0.183817729,0.151979327
22000,0.272030652,0.234505773,0.204938948,0.171739709
24000,0.328190058,0.286234041,0.250444591,0.207576299
26000,0.364884615,0.318484227,0.278623611,0.230746102
28000,0.331410199,0.301648597,0.262885571,0.21879499
30000,0.354843736,0.309944689,0.26906389,0.223631859
32000,0.38300541,0.334273537,0.29330039,0.245064855
34000,0.461962461,0.405118942,0.355550706,0.294714808
36000,0.488966137,0.437405547,0.382221043,0.316186166
38000,0.503689706,0.450127602,0.389883757,0.327257681
40000,0.507254541,0.445645571,0.394103199,0.324776602
42000,0.569526911,0.503299395,0.442061126,0.36900928
44000,0.529220223,0.46494182,0.408554912,0.338995814
46000,0.562822163,0.497287154,0.43537578,0.362495112
48000,0.57343179,0.505985697,0.444741428,0.359722948
50000,0.606392503,0.533868392,0.469188184,0.390086555
52000,0.63188684,0.559160193,0.489440024,0.406954145
54000,0.636483669,0.559553226,0.492269844,0.410429287
56000,0.669756234,0.599249005,0.52523917,0.436375284
58000,0.684836924,0.603192131,0.533779919,0.441779613
60000,0.70489645,0.621774912,0.548814833,0.455271626
62000,0.786309958,0.691261371,0.612110436,0.506222343
64000,0.785837293,0.694499572,0.610007763,0.505809832
66000,0.915065765,0.805332581,0.709596872,0.572444487
68000,0.874252021,0.768795729,0.679850221,0.560970068
70000,0.828747809,0.727722804,0.647090733,0.535914898
72000,0.845864773,0.702246745,0.655176938,0.543122673
74000,0.872053504,0.772839785,0.675966799,0.558955002
76000,1.188719153,1.046316544,0.924347937,0.760480118
78000,0.910712004,0.810465654,0.712565124,0.592853785
80000,0.998479187,0.887921095,0.780735672,0.646575928
82000,0.976042986,0.865290165,0.757879853,0.631658745
84000,0.958209276,0.84877944,0.743667662,0.619610548
86000,0.936288536,0.82919391,0.723877192,0.594079924
88000,0.930840254,0.835667928,0.738986433,0.601077843
90000,0.935538471,0.82353123,0.735454738,0.604737949
92000,0.952108502,0.840795437,0.747400291,0.604194212
94000,0.945994198,0.838878314,0.73472409,0.593910193
96000,0.937681615,0.830074231,0.739539731,0.577190776
98000,0.944527388,0.83560427,0.732402861,0.574236679
100000,0.94966954,0.843735695,0.741987824,0.576108694